course,EX,A,B,C,D,P,F,session
HS30071,3,20,4,0,0,0,0,Autumn20
EC61409,4,1,7,3,3,3,0,Autumn20
MA30003,7,36,20,10,2,2,1,Autumn20
ME29701,0,0,0,0,0,0,0,Autumn20
MA60061,1,4,1,0,0,0,0,Autumn20
MA31011,4,17,31,30,10,0,0,Autumn20
IP60017,1,8,4,4,0,2,0,Autumn20
MT29005,0,0,0,0,0,0,0,Autumn20
MS60009,1,3,7,0,0,0,1,Autumn20
MI20101,8,44,20,5,0,1,0,Autumn20
NA21101,27,18,6,1,0,0,0,Autumn20
PH29001,0,0,0,0,0,0,0,Autumn20
MA10002,0,0,1,1,0,4,7,Autumn20
ME10001,0,0,0,0,0,0,6,Autumn20
AR23205,8,30,2,0,0,0,0,Autumn20
RX60012,1,4,8,19,0,0,0,Autumn20
RX60019,3,8,17,28,8,0,0,Autumn20
RX60011,2,14,41,1,1,0,0,Autumn20
IM61003,12,20,20,5,4,2,1,Autumn20
ET60007,24,22,10,0,0,0,0,Autumn20
ET60029,27,79,14,0,2,0,0,Autumn20
ET60023,2,5,6,11,0,1,0,Autumn20
RX60018,1,8,9,13,4,0,0,Autumn20
MA29005,18,56,31,5,1,0,0,Autumn20
MA39011,5,19,45,30,0,0,0,Autumn20
MT29007,0,0,0,0,0,0,0,Autumn20
MI21007,10,25,26,13,3,0,1,Autumn20
RD30002,3,10,9,1,0,0,0,Autumn20
ME19001,0,4,4,1,1,1,3,Autumn20
PH11001,0,0,0,0,0,0,6,Autumn20
MA41031,26,44,34,11,3,0,0,Autumn20
MS31007,8,20,4,1,2,0,0,Autumn20
MA60003,1,0,1,0,0,0,0,Autumn20
MA41013,1,1,1,0,1,0,0,Autumn20
ET60019,7,10,6,4,1,4,0,Autumn20
MA40003,8,15,12,9,10,5,0,Autumn20
MA31005,3,36,32,8,2,2,0,Autumn20
MI29007,0,0,0,0,0,0,1,Autumn20
MM61501,3,1,0,0,0,0,0,Autumn20
PH19001,0,0,0,1,0,0,5,Autumn20
MA61023,0,4,2,1,1,0,0,Autumn20
ME60129,0,1,0,0,0,0,0,Autumn20
MT30001,25,122,43,3,0,1,1,Autumn20
AE31001,9,27,7,2,0,1,2,Autumn20
AE21004,0,0,0,1,1,1,0,Autumn20
AE21002,0,0,0,1,0,0,0,Autumn20
AG31001,6,19,12,11,3,2,0,Autumn20
AG29004,0,0,0,0,0,0,1,Autumn20
AG31003,2,24,19,8,2,0,1,Autumn20
AG39003,12,28,9,5,0,0,2,Autumn20
AG39001,3,39,6,2,1,0,0,Autumn20
AR32001,2,4,12,12,1,1,0,Autumn20
AR33201,3,11,17,2,0,0,0,Autumn20
BT31009,2,16,16,3,1,0,0,Autumn20
EA10004,0,3,4,4,4,2,1,Autumn20
CE21003,1,0,0,0,1,0,0,Autumn20
CE31003,0,6,42,28,5,0,0,Autumn20
CE31005,1,58,16,3,1,1,1,Autumn20
CH31001,46,86,14,5,4,3,0,Autumn20
BM63033,0,1,2,1,0,0,0,Autumn20
BM51001,7,26,16,2,0,0,0,Autumn20
BM63083,1,2,4,1,0,0,2,Autumn20
CS31003,30,55,23,9,2,1,0,Autumn20
CS31005,8,23,42,27,12,6,2,Autumn20
CY31003,1,3,11,8,0,0,0,Autumn20
BS60003,6,15,17,4,1,0,0,Autumn20
EC31001,30,41,66,4,2,0,1,Autumn20
CS60021,16,20,11,6,3,1,0,Autumn20
CS60050,10,33,28,7,2,2,0,Autumn20
CS60025,1,8,4,3,0,0,0,Autumn20
EC31003,42,103,62,19,14,6,3,Autumn20
EE31009,16,51,107,61,12,4,3,Autumn20
CS60009,1,3,8,2,0,0,0,Autumn20
IM21001,12,46,15,0,0,0,1,Autumn20
HS30079,0,17,24,19,2,0,0,Autumn20
HS30097,11,37,15,0,0,0,0,Autumn20
EP60021,12,19,17,8,4,0,0,Autumn20
EP60044,19,12,5,1,0,0,0,Autumn20
EP60007,26,38,17,3,1,0,0,Autumn20
GG31005,3,16,22,4,2,0,0,Autumn20
EP60038,2,18,14,2,7,7,0,Autumn20
HS30085,13,19,14,4,0,0,0,Autumn20
AI61005,17,35,71,37,10,0,1,Autumn20
HS40093,8,9,3,0,0,0,0,Autumn20
CS60045,26,66,29,3,2,0,1,Autumn20
ME30005,43,85,47,12,1,1,2,Autumn20
ME31007,3,45,103,39,9,0,1,Autumn20
CH62021,1,1,3,0,0,2,0,Autumn20
EE60011,0,2,3,1,2,3,0,Autumn20
ME31013,13,45,77,39,10,8,3,Autumn20
MA31020,6,94,9,0,0,0,0,Autumn20
MT31007,14,22,10,2,1,0,1,Autumn20
MI30013,6,14,20,15,2,2,1,Autumn20
MI31001,14,41,10,1,2,0,1,Autumn20
EP60003,22,41,18,6,3,0,0,Autumn20
PH31003,3,13,7,6,0,1,1,Autumn20
IM31005,9,29,22,2,4,0,1,Autumn20
AE31007,0,1,4,9,21,9,2,Autumn20
AE29004,0,3,0,0,0,0,0,Autumn20
AE31009,16,16,7,4,1,0,2,Autumn20
AG31005,6,41,2,3,0,1,1,Autumn20
AG31007,5,18,20,8,2,2,0,Autumn20
AR32003,6,24,2,0,0,0,0,Autumn20
CE31001,2,16,30,36,17,4,0,Autumn20
BT31011,5,20,10,2,0,0,0,Autumn20
BT39001,0,0,0,0,0,0,0,Autumn20
CE29006,0,0,0,1,0,1,0,Autumn20
CE39007,0,0,0,0,0,1,0,Autumn20
CE31216,6,34,27,8,1,0,0,Autumn20
CH31007,28,36,22,4,3,1,0,Autumn20
CH31009,11,64,11,7,1,0,0,Autumn20
CY31007,9,7,4,1,2,0,0,Autumn20
BS60005,1,0,3,0,0,0,0,Autumn20
EC31005,25,43,39,9,2,5,1,Autumn20
EC39003,120,76,34,14,5,2,2,Autumn20
EE31011,3,10,42,23,16,2,0,Autumn20
IE31001,2,6,12,8,3,2,2,Autumn20
AT60001,2,1,0,0,0,0,0,Autumn20
GG31007,1,6,16,2,2,0,0,Autumn20
HS30087,23,28,0,0,0,0,0,Autumn20
HS40083,1,6,8,2,1,0,0,Autumn20
EC60295,2,0,0,0,0,0,0,Autumn20
ME39013,0,0,0,0,0,0,1,Autumn20
MT31009,4,9,11,18,12,6,1,Autumn20
MI31003,0,8,22,16,18,4,1,Autumn20
MA41025,0,29,16,2,0,0,0,Autumn20
EP67003,9,2,1,0,0,0,0,Autumn20
NA31001,7,18,7,3,7,2,0,Autumn20
PH31007,3,13,8,4,0,0,2,Autumn20
IM39005,20,41,2,2,0,0,0,Autumn20
HS30054,0,0,0,0,0,1,0,Autumn20
AE39003,5,24,9,2,5,1,1,Autumn20
AE31103,2,5,20,13,2,4,0,Autumn20
MA20102,0,0,0,1,3,3,0,Autumn20
AE29002,0,0,1,0,0,0,0,Autumn20
AG39005,0,0,0,0,0,0,0,Autumn20
BT39003,0,0,0,0,0,0,0,Autumn20
CE39009,0,0,1,0,0,0,0,Autumn20
CS31007,24,56,20,12,3,0,0,Autumn20
CS39001,60,36,10,9,1,0,0,Autumn20
