course,EX,A,B,C,D,P,F,session
IE20202-DATA COMMUNICATION,2,9,16,31,49,67,0,Spring 22
MA20204-APPLIED COMPUTATIONAL METHODS,22,20,37,48,19,5,0,Spring 21
MA20204-APPLIED COMPUTATIONAL METHODS,7,24,45,46,36,34,3,Spring 22
CS60025-,4,15,13,4,0,0,0,Autumn 22
CS60025-,0,0,0,1,0,0,0,Autumn 19
CS60025-,1,4,2,0,0,0,0,Autumn 21
EE39201-INSTRUMENTATION SYSTEM DESIGN-1,4,17,16,9,1,0,0,Autumn 22
IE31001-INSTRUMENTATION DEVICES,4,10,15,8,8,2,0,Autumn 22
IE31001-INSTRUMENTATION DEVICES,5,9,18,6,0,1,0,Autumn 21
IE39001-INSTRUMENTATION DEVICES LABORATORY,5,14,11,17,0,0,0,Autumn 22
IE39001-INSTRUMENTATION DEVICES LABORATORY,3,15,12,8,1,0,0,Autumn 21
MA20208-STOCHASTIC PROCESSES AND APPLICATIONS,50,100,31,7,1,2,0,Spring 21
MA20208-STOCHASTIC PROCESSES AND APPLICATIONS,4,18,28,5,18,11,3,Spring 22
CS60045-,14,27,19,14,17,8,0,Autumn 22
CS60045-,0,1,1,1,0,0,0,Autumn 20
CS60045-,0,6,3,2,0,0,0,Autumn 21
CS60045-,0,0,0,0,0,1,0,Spring 21
MA31005-REAL ANALYSIS,11,35,39,14,5,0,0,Autumn 21
MA31005-REAL ANALYSIS,0,0,0,0,0,1,0,Autumn 18
MA31005-REAL ANALYSIS,0,0,0,1,0,3,1,Autumn 19
MA31005-REAL ANALYSIS,0,1,5,0,0,0,0,Autumn 20
PH21203-ELECTROMAGNETISM,1,3,12,14,11,5,1,Autumn 21
PH21203-ELECTROMAGNETISM,3,1,6,12,9,6,1,Autumn 22
CS60075-,2,10,21,13,8,0,0,Autumn 21
CS60075-,0,1,2,6,7,6,2,Spring 21
CS60075-,14,14,25,10,7,1,1,Autumn 22
CS60075-,6,1,2,0,0,0,0,Autumn 20
CS60075-,0,0,0,0,1,0,0,Spring 19
CS60075-,0,0,1,1,0,0,0,Spring 20
CS60075-,8,9,11,16,9,1,0,Spring 22
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,37,221,67,3,0,0,0,Spring 21
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,59,115,52,7,2,2,0,Autumn 21
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,18,33,31,15,3,1,1,Autumn 22
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,10,35,41,33,19,11,0,Spring 22
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,1,1,5,2,0,0,0,Spring 20
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,11,17,8,2,0,0,0,Autumn 20
MA20203-THEORY OF PARTIAL DIFFERENTIAL EQUATIONS,70,55,83,85,90,113,26,Autumn 22
MA20203-THEORY OF PARTIAL DIFFERENTIAL EQUATIONS,100,162,105,28,12,10,0,Autumn 21
MA20203-THEORY OF PARTIAL DIFFERENTIAL EQUATIONS,0,0,0,0,0,1,0,Spring 20
HS21201-ECONOMICS,47,119,150,16,6,0,0,Autumn 21
HS21201-ECONOMICS,63,171,130,21,4,3,0,Spring 21
HS21201-ECONOMICS,16,72,155,131,121,79,4,Autumn 22
HS21201-ECONOMICS,6,27,59,56,67,26,4,Spring 22
EC21204-LINEAR ALGEBRA AND OPTIMIZATION MODELS,1,13,20,18,54,40,17,Spring 22
EC21204-LINEAR ALGEBRA AND OPTIMIZATION MODELS,0,8,49,68,35,4,0,Spring 21
EC21206-ELECTROMAGNETIC ENGINEERING,18,43,38,36,20,13,3,Spring 22
EC21206-ELECTROMAGNETIC ENGINEERING,39,41,65,18,4,0,0,Spring 21
EC21205-SEMICONDUCTOR DEVICES,17,74,61,9,5,4,0,Autumn 21
EC21205-SEMICONDUCTOR DEVICES,27,31,88,13,5,0,1,Autumn 22
EC21201-BASIC ELECTRONICS,71,169,150,66,26,19,1,Autumn 21
EC21201-BASIC ELECTRONICS,112,310,122,28,4,2,0,Spring 21
EC21201-BASIC ELECTRONICS,39,92,82,73,76,150,12,Autumn 22
EC21201-BASIC ELECTRONICS,57,118,222,104,51,22,2,Spring 22
EC21201-BASIC ELECTRONICS,0,1,0,0,0,0,0,Spring 20
EC29201-BASIC ELECTRONICS LABORATORY,155,222,83,24,13,3,1,Autumn 21
EC29201-BASIC ELECTRONICS LABORATORY,143,304,100,23,5,2,0,Spring 21
EC29201-BASIC ELECTRONICS LABORATORY,135,239,71,61,13,1,1,Autumn 22
EC29201-BASIC ELECTRONICS LABORATORY,70,163,188,109,26,15,5,Spring 22
EC29201-BASIC ELECTRONICS LABORATORY,0,1,0,0,0,0,0,Spring 20
IM21201-OPERATIONS RESEARCH I,25,41,42,18,13,5,0,Autumn 21
IM21201-OPERATIONS RESEARCH I,18,28,31,29,23,17,1,Autumn 22
IM21203-ENGINEERING ECONOMY,33,40,6,0,0,0,0,Autumn 21
IM21203-ENGINEERING ECONOMY,14,35,18,9,2,0,0,Autumn 22
ME29201-INTRODUCTION TO BASIC MANUFACTURING PROCESSES,34,242,59,12,1,1,0,Autumn 21
ME29201-INTRODUCTION TO BASIC MANUFACTURING PROCESSES,35,164,97,32,9,0,0,Autumn 22
CS21202-SWITCHING CIRCUITS AND LOGIC DESIGN,12,61,61,18,4,3,1,Spring 21
CS21202-SWITCHING CIRCUITS AND LOGIC DESIGN,14,29,37,37,17,14,9,Spring 22
CS29204-SWITCHING CIRCUITS LABORATORY,44,64,32,9,4,6,0,Spring 21
CS29204-SWITCHING CIRCUITS LABORATORY,56,67,17,9,4,2,0,Spring 22
IM20202-WORK SYSTEM DESIGN,10,21,25,19,4,0,0,Spring 21
IM20202-WORK SYSTEM DESIGN,2,16,18,17,18,8,1,Spring 22
IM21202-MANAGEMENT OF INVENTORY SYSTEMS,10,26,31,12,0,0,0,Spring 21
IM21202-MANAGEMENT OF INVENTORY SYSTEMS,3,6,21,19,30,15,4,Spring 22
IM21202-MANAGEMENT OF INVENTORY SYSTEMS,0,0,0,0,1,0,0,Autumn 22
IM21204-OPERATIONS RESEARCH II,7,39,26,8,0,0,0,Spring 21
IM21204-OPERATIONS RESEARCH II,4,18,19,18,14,8,0,Spring 22
IM29202-WORK SYSTEM DESIGN LABORATORY,33,46,0,0,0,0,0,Spring 21
IM29202-WORK SYSTEM DESIGN LABORATORY,8,40,20,11,0,0,0,Spring 22
IM29204-OPERATIONS RESEARCH LABORATORY,45,25,5,0,3,1,0,Spring 21
IM29204-OPERATIONS RESEARCH LABORATORY,9,16,20,23,10,1,0,Spring 22
MA20202-TRANSFORM CALCULUS,61,469,171,21,13,7,0,Spring 21
MA20202-TRANSFORM CALCULUS,84,99,127,137,113,176,35,Spring 22
EP60044-,31,32,19,4,0,1,0,Autumn 22
EP60044-,0,0,1,0,0,0,0,Autumn 20
EP60044-,1,5,2,0,0,0,0,Autumn 21
IM31005-QUALITY DESIGN AND CONTROL,7,17,31,24,16,5,1,Autumn 22
IM31005-QUALITY DESIGN AND CONTROL,0,0,1,2,0,1,0,Autumn 19
IM31005-QUALITY DESIGN AND CONTROL,6,26,43,5,0,1,0,Autumn 21
IM31006-SIMULATION,6,12,21,21,14,5,0,Autumn 22
IM31006-SIMULATION,0,0,1,1,1,0,0,Spring 19
IM31006-SIMULATION,0,0,1,0,0,0,0,Spring 20
IM31006-SIMULATION,10,30,18,9,3,0,0,Spring 21
IM31201-SUPPLY CHAIN MANAGEMENT,8,20,17,17,13,4,0,Autumn 22
IM31203-PRODUCTION PLANNING AND CONTROL,8,14,31,13,7,6,0,Autumn 22
IM39005-QUALITY DESIGN AND CONTROL LABORATORY,60,41,0,0,0,0,0,Autumn 22
IM39005-QUALITY DESIGN AND CONTROL LABORATORY,0,3,1,0,0,0,0,Autumn 19
IM39005-QUALITY DESIGN AND CONTROL LABORATORY,25,44,4,1,0,0,0,Autumn 21
IM39201-SIMULATION LAB,44,30,4,1,0,0,0,Autumn 22
CS21201-DISCRETE STRUCTURES,14,35,35,39,25,9,1,Autumn 21
CS21201-DISCRETE STRUCTURES,14,31,50,27,15,10,12,Autumn 22
CS21203-ALGORITHMS - I,9,21,40,31,43,9,2,Autumn 21
CS21203-ALGORITHMS - I,19,32,42,23,20,13,4,Autumn 22
CS21203-ALGORITHMS - I,2,5,14,28,35,2,0,Spring 22
CS29203-ALGORITHMS LABORATORY,8,27,30,22,32,34,2,Autumn 21
CS29203-ALGORITHMS LABORATORY,18,32,40,28,22,11,2,Autumn 22
CS29203-ALGORITHMS LABORATORY,8,16,30,14,7,5,0,Spring 22
CS20202-SOFTWARE ENGINEERING,37,51,46,10,7,2,2,Spring 21
CS20202-SOFTWARE ENGINEERING,23,58,27,20,11,12,3,Spring 22
CS21204-FORMAL LANGUAGE AND AUTOMATA THEORY,9,32,26,39,24,23,1,Spring 21
CS21204-FORMAL LANGUAGE AND AUTOMATA THEORY,13,26,30,44,24,13,4,Spring 22
CS29202-SOFTWARE ENGINEERING LABORATORY,40,54,35,15,7,2,1,Spring 21
CS29202-SOFTWARE ENGINEERING LABORATORY,50,56,32,6,7,2,0,Spring 22
HS20016-ENVIRONMENTAL HUMANITIES,6,35,13,3,0,0,0,Spring 21
HS20016-ENVIRONMENTAL HUMANITIES,23,25,16,1,0,0,0,Autumn 21
HS20016-ENVIRONMENTAL HUMANITIES,36,55,16,3,1,0,0,Spring 22
HS20016-ENVIRONMENTAL HUMANITIES,1,0,0,1,0,0,0,Spring 18
HS20016-ENVIRONMENTAL HUMANITIES,10,14,10,0,0,0,0,Autumn 20
HS20016-ENVIRONMENTAL HUMANITIES,0,1,0,0,0,0,0,Spring 19
HS20016-ENVIRONMENTAL HUMANITIES,10,23,45,11,0,0,0,Autumn 22
HS20016-ENVIRONMENTAL HUMANITIES,16,18,8,1,0,0,0,Spring 20
AI61003-,6,17,19,23,10,27,0,Autumn 22
AI61003-,45,31,13,5,0,0,0,Autumn 21
AI61003-,0,0,1,1,2,0,0,Autumn 20
CS31003-COMPILERS,8,24,53,29,30,8,0,Autumn 22
CS31003-COMPILERS,29,41,47,5,3,1,2,Autumn 21
CS31003-COMPILERS,0,0,0,0,2,1,0,Autumn 19
CS31005-ALGORITHMS -II,12,21,40,23,38,13,5,Autumn 22
CS31005-ALGORITHMS -II,16,25,16,27,33,9,1,Autumn 21
CS31005-ALGORITHMS -II,0,0,0,2,1,0,0,Autumn 19
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE,13,30,38,42,19,10,0,Autumn 22
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE,29,56,31,6,4,1,1,Autumn 21
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE,0,0,0,3,0,0,0,Autumn 19
CS39001-COMPUTER ORGANIZATION LABORATORY,82,48,18,4,0,0,0,Autumn 22
CS39001-COMPUTER ORGANIZATION LABORATORY,61,40,13,7,5,2,0,Autumn 21
CS39001-COMPUTER ORGANIZATION LABORATORY,1,1,0,1,0,1,0,Autumn 19
CS39003-COMPILERS LABORATORY,53,65,29,5,0,0,0,Autumn 22
CS39003-COMPILERS LABORATORY,79,22,16,7,0,2,2,Autumn 21
CS39003-COMPILERS LABORATORY,0,0,1,2,0,0,0,Autumn 19
CS60050-,20,23,25,16,15,3,0,Autumn 22
CS60050-,5,11,17,8,0,0,0,Spring 22
CS60050-,25,57,6,2,1,0,0,Autumn 21
CS60050-,0,0,0,2,0,0,0,Autumn 19
CS60050-,0,4,0,0,0,0,0,Spring 20
CS60050-,8,7,3,3,1,0,0,Spring 21
MA20201-NUMERICAL SOLUTION OF ORDINARY AND PDE,6,95,30,10,1,2,1,Autumn 21
MA20201-NUMERICAL SOLUTION OF ORDINARY AND PDE,13,15,31,29,33,29,3,Autumn 22
MA21201-REAL ANALYSIS,4,18,44,7,4,0,0,Autumn 21
MA21201-REAL ANALYSIS,4,13,20,25,20,20,5,Autumn 22
MA21203-COMBINATORICS AND GRAPH THEORY,18,22,20,19,10,3,0,Autumn 21
MA21203-COMBINATORICS AND GRAPH THEORY,12,22,11,15,6,10,3,Autumn 22
EC21208-SIGNALS AND SYSTEMS,12,37,39,27,34,10,6,Spring 22
EC21208-SIGNALS AND SYSTEMS,8,29,23,45,41,18,0,Spring 21
EC21210-SYSTEMS AND CONTROL,16,39,44,37,18,10,0,Spring 22
MA20206-THEORY OF COMPUTATIONS,20,45,9,5,0,0,1,Spring 21
MA20206-THEORY OF COMPUTATIONS,9,33,39,7,1,0,0,Spring 22
MA21202-MODERN ALGEBRA,2,25,55,13,0,1,0,Spring 21
MA21202-MODERN ALGEBRA,5,4,17,18,27,27,5,Spring 22
MA29202-NUMERICAL METHODS LABORATORY,1,14,22,21,13,3,0,Spring 21
MA29202-NUMERICAL METHODS LABORATORY,28,28,34,8,0,0,0,Spring 22
MA30008-TOPOLOGY,5,7,10,16,12,23,1,Autumn 22
MA30207-DESIGN & ANALYSIS OF ALGORITHMS,34,65,42,17,1,0,0,Autumn 22
MA30227-OPTIMIZATION TECHNIQUES,10,24,25,12,12,3,1,Autumn 22
MA30227-OPTIMIZATION TECHNIQUES,0,0,0,0,1,0,0,Autumn 21
MA30231-FUNCTIONAL ANALYSIS,6,16,14,16,22,0,0,Autumn 22
MA39203-DESIGN & ANALYSIS OF ALGORITHMS LAB,25,34,20,0,0,0,0,Autumn 22
MA39207-OPTIMIZATION TECHNIQUES LAB,22,36,16,0,0,0,0,Autumn 22
MA60259-,1,15,43,14,6,1,1,Autumn 22
MA69201-,3,10,33,18,10,0,0,Autumn 22
CS29206-SYSTEMS PROGRAMMING LABORATORY,12,49,44,18,21,9,2,Spring 21
CS29206-SYSTEMS PROGRAMMING LABORATORY,32,43,34,15,16,14,1,Spring 22
HS30001-INTRODUCTION TO SOCIOLOGY,4,10,31,7,0,0,0,Spring 21
HS30001-INTRODUCTION TO SOCIOLOGY,1,18,26,1,1,0,0,Autumn 22
HS30001-INTRODUCTION TO SOCIOLOGY,8,16,37,12,0,0,0,Spring 22
HS30001-INTRODUCTION TO SOCIOLOGY,0,7,34,3,3,0,0,Autumn 21
HS30001-INTRODUCTION TO SOCIOLOGY,0,0,0,0,1,0,0,Autumn 19
HS30001-INTRODUCTION TO SOCIOLOGY,1,2,12,3,2,0,0,Autumn 20
HS30001-INTRODUCTION TO SOCIOLOGY,0,0,3,0,0,0,0,Spring 18
HS30001-INTRODUCTION TO SOCIOLOGY,0,0,0,0,1,0,0,Autumn 18
HS30001-INTRODUCTION TO SOCIOLOGY,0,8,20,10,8,1,0,Spring 20
RD30011-RURAL INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT,6,11,7,3,1,0,0,Spring 21
