course,EX,A,B,C,D,P,F,session
HS20016,4,10,15,3,2,1,0,Autumn19
ET61005,0,5,1,1,0,0,1,Autumn20
HS30003,10,24,0,0,0,0,0,Autumn20
HS40072,13,13,0,2,1,0,0,Spring21
MA31005,6,15,23,19,9,4,1,Autumn19
HS20018,5,13,10,5,1,1,1,Autumn20
HS30073,2,9,28,11,2,0,0,Autumn20
MA20103,128,218,89,22,4,2,1,Autumn20
MA51003,1,0,0,1,0,0,0,Autumn20
HS20001,73,99,182,86,8,3,1,Spring21
MA51005,1,1,0,4,0,0,0,Autumn19
CS60050,20,28,9,1,0,0,0,Spring20
MA30014,4,16,20,14,14,5,0,Spring20
MA30003,7,35,20,7,2,1,0,Autumn20
MA41031,26,41,26,8,1,0,0,Autumn20
MA39014,38,45,20,4,0,0,2,Spring21
MA60067,7,18,13,6,2,0,0,Spring21
PH41009,5,6,7,9,5,1,0,Spring21
MA31009,1,8,27,15,4,1,0,Autumn19
EP60038,2,17,11,2,2,5,0,Autumn20
ME60407,0,0,1,0,0,2,0,Autumn19
RE20001,0,0,1,1,2,0,0,Autumn19
HS20001,87,129,202,29,9,1,0,Autumn20
ME60103,0,1,1,1,0,1,0,Autumn20
RE60021,0,0,0,1,0,0,0,Autumn20
CE60112,2,4,7,5,0,0,0,Spring21
PH60046,0,1,0,0,0,0,0,Spring20
HS30075,6,9,13,9,0,0,0,Autumn20
AI42001,51,101,44,6,1,0,1,Autumn20
HS31076,3,22,10,6,0,0,1,Autumn20
AI61005,18,69,34,11,4,2,2,Spring21
AT60004,1,1,3,2,0,0,0,Spring21
MA30014,72,38,19,10,7,0,1,Spring21
CS60052,2,0,0,0,0,0,0,Spring20
EC66001,3,3,0,3,0,5,0,Spring20
MA20105,14,53,10,3,0,0,0,Autumn20
EE60014,3,2,0,0,2,0,0,Spring21
CR61021,0,0,0,1,0,0,0,Autumn19
HS30084,3,9,11,7,3,0,0,Autumn20
CS60017,1,1,5,7,0,0,0,Autumn19
CS60047,13,15,0,0,0,0,0,Autumn20
CS60083,2,3,1,0,1,0,0,Autumn20
HS30041,17,22,11,0,0,0,0,Autumn20
RD30002,0,1,3,0,1,0,0,Autumn19
ME60012,0,0,0,0,1,0,0,Autumn19
PH61007,1,1,1,0,0,0,0,Spring21
HS30001,1,5,26,10,2,0,0,Autumn20
RX60012,1,4,8,17,0,0,0,Autumn20
EC60012,0,1,3,1,0,0,0,Spring21
EP60018,6,35,22,4,2,0,0,Spring21
EP60003,2,6,10,12,9,3,1,Autumn19
EP67003,3,2,1,2,0,0,1,Autumn19
TE30002,13,13,8,2,0,0,0,Autumn19
EP60004,3,5,2,4,1,9,0,Spring20
EP67004,8,1,0,0,0,0,0,Spring20
AE40006,0,0,0,0,0,0,1,Autumn20
AE60006,0,0,1,0,0,0,0,Autumn20
MA31020,5,14,24,21,15,10,1,Autumn19
BM60023,4,5,26,8,0,0,0,Autumn20
BM40006,3,5,9,9,1,0,0,Spring21
BM40012,2,4,10,5,2,1,1,Spring21
subject,0,0,0,0,0,0,0,_session
AG31001,5,19,17,11,2,0,0,Autumn19
AG31003,4,14,10,13,8,6,1,Autumn19
AG31005,4,6,5,10,10,20,1,Autumn19
