subject,subject_grades,subject_session
CY11001-CHEMISTRY,C,Autumn17
CY19001-CHEMISTRY LAB.,B,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn17
MA10001-MATHEMATICS-I,B,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring17
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring17
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring17
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring17
MA10002-MATHEMATICS-II,B,Spring17
ME10001-MECHANICS,A,Spring17
PH11001-PHYSICS,D,Spring17
PH19001-PHYSICS LAB.,B,Spring17
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn18
EC21103-INTRODUCTION TO ELECTRONICS,B,Autumn18
EC29003-INTRODUCTION TO ELECTRONICS LAB.,B,Autumn18
EE21101-SIGNALS & NETWORKS,C,Autumn18
EE29001-SIGNALS & NETWORKS LAB.,A,Autumn18
HS20018-SANSKRIT AND HERITAGE,D,Autumn18
MA20101-TRANSFORM CALCULUS,B,Autumn18
PH20003-PHYSICS-II,D,Autumn18
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring18
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring18
EC21008-ANALOG ELECTRONIC CIRCUITS,C,Spring18
EC29008-ANALOG  CIRCUITS LAB.,A,Spring18
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,B,Spring18
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,B,Spring18
EV20001-ENVIRONMENTAL SCIENCE,D,Spring18
HS62002-,B,Spring18
MA20106-PROBABILITY & STOCHASTIC PROCESSES,C,Spring18
CH31001-MASS TRANSFER I,P,Autumn19
CS40019-IMAGE PROCESSING,D,Autumn19
EC31003-DIGITAL ELECTRONIC CIRCUITS,C,Autumn19
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn19
EE31009-CONTROL SYSTEM ENGINEERING,C,Autumn19
EE39009-CONTROL AND INSTRUMENTATION LAB.,C,Autumn19
EP60022-,B,Autumn19
IE31001-INSTRUMENTATION DEVICES,C,Autumn19
IE39001-INSTRUMENTATION DEVICES LABORATORY,B,Autumn19
CH39006-MASS TRANSFER LABORATORY,B,Spring19
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,B,Spring19
EE30004-EMBEDDED SYSTEMS,C,Spring19
EE39004-EMBEDDED SYSTEMS LAB.,B,Spring19
IE30002-INSTRUMENTATION DEVICES-II,C,Spring19
IE30006-DATA COMMUNICATION,C,Spring19
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring19
MA60002-,B,Spring19
EE41013-DIGITAL SIGNAL PROCESSING,D,Autumn20
EE60032-,D,Autumn20
EE60098-,B,Autumn20
IE47007-PROJECT-I,EX,Autumn20
IE49002-INSTRUMENTATION SYSTEM DESIGN,A,Autumn20
MA61023-,A,Autumn20
CH61016-,B,Spring20
EE60101-,B,Spring20
EE60102-,B,Spring20
EE69014-,A,Spring20
