subject,subject_grades,subject_session
BT48017-INDUSTRIAL TRAINING,EX,Autumn20
BT49001-ENZYME TECHNOLOGY LABORATORY,I,Autumn20
IP60017-,EX,Autumn20
MM60009-,EX,Autumn20
MM61511-,A,Autumn20
BT41014-METABOLIC ENGINEERING,B,Spring21
BT41022-NEUROPHYSIOLOGY,A,Spring21
BT47006-PROJECT - PART 2,,Spring21
BT48026-COMPREHENSIVE VIVA VOCE,A,Spring21
BT60002-,B,Spring21
BT60016-,A,Spring21
MM72335-,A,Spring21
CY11001-CHEMISTRY,P,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,D,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn17
MA10001-MATHEMATICS-I,P,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,P,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,P,Spring18
ME10001-MECHANICS,P,Spring18
PH11001-PHYSICS,P,Spring18
PH19001-PHYSICS LAB.,D,Spring18
BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn18
BT20103-MICROBIOLOGY,D,Autumn18
BT21101-BIOCHEMISTRY,P,Autumn18
BT21105-BIOCHEM. REACTION ENGG. AND BIOENERGETICS,B,Autumn18
BT29001-BIOCHEMISTRY LABORATORY,B,Autumn18
BT29003-MICROBIOLOGY LABORATORY,B,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn18
EV20001-ENVIRONMENTAL SCIENCE,B,Autumn18
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,D,Autumn18
BT21002-CELL & MOLECULAR BIOLOGY,C,Spring19
BT29002-CELL & MOLECULAR BIOLOGY LABORATORY,B,Spring19
