subject,subject_grades,subject_session
CY11001-CHEMISTRY,A,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn17
MA10001-MATHEMATICS-I,B,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring17
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring17
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring17
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring17
MA10002-MATHEMATICS-II,B,Spring17
ME10001-MECHANICS,B,Spring17
PH11001-PHYSICS,C,Spring17
PH19001-PHYSICS LAB.,A,Spring17
EA10003-EXTRA ACADEMIC ACTIVITY-III,D,Autumn18
HS20003-STATISTICS FOR ECONOMICS,B,Autumn18
HS20005-MICRO ECONOMICS-I,C,Autumn18
HS20007-MACRO ECONOMICS-I,B,Autumn18
HS60005-,EX,Autumn18
IM21003-OPERATIONS RESEARCH-I,C,Autumn18
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,C,Autumn18
MA21007-DESIGN & ANALYSIS OF ALGORITHMS,D,Autumn18
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring18
EA10004-EXTRA ACADEMIC ACTIVITY-IV,P,Spring18
EV20001-ENVIRONMENTAL SCIENCE,A,Spring18
HS20006-MICRO ECONOMICS-II,C,Spring18
HS20008-MACRO ECONOMICS-II,B,Spring18
HS20009-DEVELOPMENT ECONOMICS,A,Spring18
MA20104-PROBABILITY & STATISTICS,C,Spring18
HS30079-PUBLIC FINANCE AND POLICY,B,Autumn19
HS30085-INDIAN ECONOMY,B,Autumn19
HS30087-ECONOMICS OF GROWTH,P,Autumn19
HS30097-FINANCIAL INSTITUTIONS & MARKETS,B,Autumn19
MA31005-REAL ANALYSIS,C,Autumn19
MA31020-REGRESSION AND TIME SERIES MODEL,D,Autumn19
MA61061-,P,Autumn19
HS20014-ECONOMICS OF SUSTIANABLE DEVELOPMENT,A,Spring19
HS30002-COMPARATIVE DEVELOPMENT PERSPECTIVE,EX,Spring19
HS31082-MONETARY ECONOMICS,B,Spring19
HS38002-SEMINAR,B,Spring19
HS40085-LABOUR ECONOMICS,A,Spring19
HS41002-ECONOMETRIC ANALYSIS I,B,Spring19
HS49002-ECONOMETRIC ANALYSIS I LAB.,B,Spring19
EP60007-,A,Autumn20
EP60021-,EX,Autumn20
HS31072-ENVIRONMENTAL ECONOMICS,A,Autumn20
HS40007-ECONOMETRIC ANALYSIS-II,A,Autumn20
HS49009-ECONOMETRIC ANALYSIS II LABORATORY,B,Autumn20
HS60009-,C,Autumn20
MA51109-COMPUTATIONAL STATISTICS,A,Autumn20
HS40078-INTERNATIONAL TRADE,A,Spring20
HS41004-BANKING THEORY AND PRACTICE,A,Spring20
HS50019-ECONOMIC MODELLING,B,Spring20
HS59001-APPLIED ECONOMETRICS LABORATORY,A,Spring20
HS60092-,A,Spring20
MA40004-FILE ORGANIZATION AND DATABASE SYSTEMS,A,Spring20
CY11001-CHEMISTRY,C,Autumn17
CY19001-CHEMISTRY LAB.,EX,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn17
MA10001-MATHEMATICS-I,C,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring17
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring17
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring17
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring17
MA10002-MATHEMATICS-II,C,Spring17
ME10001-MECHANICS,EX,Spring17
PH11001-PHYSICS,D,Spring17
PH19001-PHYSICS LAB.,A,Spring17
EA10003-EXTRA ACADEMIC ACTIVITY-III,D,Autumn18
HS20003-STATISTICS FOR ECONOMICS,B,Autumn18
