subject,subject_grades,subject_session
CY11001-CHEMISTRY,P,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn17
MA10001-MATHEMATICS-I,D,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,P,Spring18
ME10001-MECHANICS,D,Spring18
PH11001-PHYSICS,P,Spring18
PH19001-PHYSICS LAB.,A,Spring18
CE20006-WATER RESOURCES ENGG.,D,Autumn18
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS,B,Autumn18
CE20103-TRANSPORTATION ENGG.,P,Autumn18
CE20105-SURVEYING,D,Autumn18
CE21005-SOLID MECHANICS,P,Autumn18
CE29003-TRANSPORTATION ENGG. LAB,B,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,P,Autumn18
MA20101-TRANSFORM CALCULUS,P,Autumn18
CE21003-HYDRAULICS,C,Spring19
CE21004-STRUCTURAL ANALYSIS,B,Spring19
CE29002-SURVEYING PEACTICE,EX,Spring19
CE29006-WATER RESOURCES ENGG. LABORATORY,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring19
EC21101-BASIC ELECTRONICS,B,Spring19
EC29001-BASIC ELECTRONICS LAB.,B,Spring19
HS60042-,B,Spring19
MA20104-PROBABILITY & STATISTICS,D,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,P,Autumn19
CE31001-DESIGN OF RC STRUCTURE,D,Autumn19
CE31003-SOIL MECHANICS,P,Autumn19
CE31005-WATER AND W.W. ENGINEERING,P,Autumn19
CE31216-CONSTRUCTION PLANNING AND MANAGEMENT,C,Autumn19
CE39007-CONCRETE LABORATORY,B,Autumn19
CE39009-SOIL MECHANICS LABORATORY,B,Autumn19
CE39011-W & W.W. ENGINEERING LABORATORY,B,Autumn19
EV20001-ENVIRONMENTAL SCIENCE,C,Autumn19
CE31002-FOUNDATION ENGINEERING,A,Spring20
CE31004-DESIGN OF STEEL STRUCTURES,D,Spring20
CE31111-DESIGN OF HYDRAULIC STRUCTURES,A,Spring20
CE31306-ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING,C,Spring20
CE39004-DESIGN SESSIONAL,B,Spring20
CE39006-STRUCTURAL DETAILING,A,Spring20
CE39008-CIVIL ENGG. DRAWING AND EST.,A,Spring20
ET60006-,C,Spring20
CE31410-ROCK MECHANICS AND TUNNELLING,D,Autumn20
CE41003-STRUCTURAL DYNAMICS & EARTHQUAKE ENGG.,EX,Autumn20
CE41601-SOLID WASTE MANAGEMENT,B,Autumn20
CE47007-PROJECT-I,A,Autumn20
CE48001-INDUSTRIAL TRAINING,EX,Autumn20
CE69021-,I,Autumn20
HS60044-,A,Autumn20
CE48004-COMPREHENSIVE VIVA-VOCE,B,Spring21
CE60016-,A,Spring21
CE60132-,C,Spring21
EP60006-,B,Spring21
EP60020-,C,Spring21
HS20001-ECONOMICS,C,Spring21
MA41017-STOCHASTIC PROCESSES,A,Spring21
CY11001-CHEMISTRY,B,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn17
MA10001-MATHEMATICS-I,B,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,B,Spring18
ME10001-MECHANICS,EX,Spring18
PH11001-PHYSICS,D,Spring18
PH19001-PHYSICS LAB.,A,Spring18
CE20006-WATER RESOURCES ENGG.,C,Autumn18
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS,A,Autumn18
CE20103-TRANSPORTATION ENGG.,C,Autumn18
CE20105-SURVEYING,C,Autumn18
CE21005-SOLID MECHANICS,C,Autumn18
CE29003-TRANSPORTATION ENGG. LAB,B,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn18
MA20101-TRANSFORM CALCULUS,B,Autumn18
CE21003-HYDRAULICS,A,Spring19
CE21004-STRUCTURAL ANALYSIS,A,Spring19
CE29002-SURVEYING PEACTICE,A,Spring19
CE29006-WATER RESOURCES ENGG. LABORATORY,A,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring19
EC21101-BASIC ELECTRONICS,B,Spring19
EC29001-BASIC ELECTRONICS LAB.,A,Spring19
HS62002-,C,Spring19
MA20104-PROBABILITY & STATISTICS,C,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,D,Autumn19
CE31001-DESIGN OF RC STRUCTURE,B,Autumn19
CE31003-SOIL MECHANICS,B,Autumn19
CE31005-WATER AND W.W. ENGINEERING,A,Autumn19
CE31216-CONSTRUCTION PLANNING AND MANAGEMENT,A,Autumn19
CE39007-CONCRETE LABORATORY,B,Autumn19
CE39009-SOIL MECHANICS LABORATORY,A,Autumn19
CE39011-W & W.W. ENGINEERING LABORATORY,B,Autumn19
EV20001-ENVIRONMENTAL SCIENCE,B,Autumn19
MA21007-DESIGN & ANALYSIS OF ALGORITHMS,B,Autumn19
AI61002-,A,Spring20
CE31002-FOUNDATION ENGINEERING,A,Spring20
CE31004-DESIGN OF STEEL STRUCTURES,EX,Spring20
CE39004-DESIGN SESSIONAL,B,Spring20
CE39006-STRUCTURAL DETAILING,A,Spring20
CE39008-CIVIL ENGG. DRAWING AND EST.,EX,Spring20
CE41603-HAZARDOUS WASTE MANAGEMENT,A,Spring20
CS60050-,A,Spring20
ET60006-,EX,Spring20
CE60021-,A,Autumn20
CE60023-,A,Autumn20
CE60135-,A,Autumn20
CE69021-,I,Autumn20
CE69023-,I,Autumn20
CS40019-IMAGE PROCESSING,A,Autumn20
HS60044-,EX,Autumn20
MA29005-DESIGN & ANALYSIS OF ALGORITHMS LAB.,EX,Autumn20
AI60002-,A,Spring21
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring21
CE60022-,EX,Spring21
CE60028-,A,Spring21
CE69008-,A,Spring21
EP60020-,A,Spring21
CY11001-CHEMISTRY,B,Autumn17
CY19001-CHEMISTRY LAB.,EX,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn17
MA10001-MATHEMATICS-I,C,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,C,Spring18
ME10001-MECHANICS,EX,Spring18
PH11001-PHYSICS,B,Spring18
PH19001-PHYSICS LAB.,A,Spring18
CE20006-WATER RESOURCES ENGG.,B,Autumn18
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS,EX,Autumn18
CE20103-TRANSPORTATION ENGG.,A,Autumn18
CE20105-SURVEYING,B,Autumn18
CE21005-SOLID MECHANICS,A,Autumn18
CE29003-TRANSPORTATION ENGG. LAB,EX,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn18
HS20005-MICRO ECONOMICS-I,P,Autumn18
MA20101-TRANSFORM CALCULUS,C,Autumn18
CE21003-HYDRAULICS,EX,Spring19
CE21004-STRUCTURAL ANALYSIS,B,Spring19
CE29002-SURVEYING PEACTICE,EX,Spring19
CE29006-WATER RESOURCES ENGG. LABORATORY,EX,Spring19
CS21003-ALGORITHMS - I,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,A,Spring19
EP60020-,B,Spring19
MA20104-PROBABILITY & STATISTICS,B,Spring19
MA30014-OPERATION RESEARCH,D,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn19
CE31001-DESIGN OF RC STRUCTURE,P,Autumn19
CE31003-SOIL MECHANICS,C,Autumn19
CE31005-WATER AND W.W. ENGINEERING,D,Autumn19
CE31216-CONSTRUCTION PLANNING AND MANAGEMENT,B,Autumn19
CE39007-CONCRETE LABORATORY,A,Autumn19
CE39009-SOIL MECHANICS LABORATORY,A,Autumn19
CE39011-W & W.W. ENGINEERING LABORATORY,B,Autumn19
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn19
BM40012-DERIVATIVES AND RISK MANAGEMENT,D,Spring20
CE31002-FOUNDATION ENGINEERING,B,Spring20
CE31004-DESIGN OF STEEL STRUCTURES,D,Spring20
CE31111-DESIGN OF HYDRAULIC STRUCTURES,A,Spring20
CE31306-ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING,A,Spring20
CE39004-DESIGN SESSIONAL,A,Spring20
CE39006-STRUCTURAL DETAILING,A,Spring20
CE39008-CIVIL ENGG. DRAWING AND EST.,EX,Spring20
EG30002-ENERGY CONVERSION PROCESSES,D,Spring20
CE31410-ROCK MECHANICS AND TUNNELLING,A,Autumn20
CE41003-STRUCTURAL DYNAMICS & EARTHQUAKE ENGG.,EX,Autumn20
CE48001-INDUSTRIAL TRAINING,B,Autumn20
CE69021-,I,Autumn20
CS60045-,B,Autumn20
ET60029-,A,Autumn20
HS30001-INTRODUCTION TO SOCIOLOGY,B,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring21
CE41028-STRUCTURAL HEALTH MONITORING,A,Spring21
CE48004-COMPREHENSIVE VIVA-VOCE,B,Spring21
CE60016-,A,Spring21
EP60008-,A,Spring21
HS30048-GERMAN,EX,Spring21
HS60010-,B,Spring21
CY11001-CHEMISTRY,A,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn17
MA10001-MATHEMATICS-I,A,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,B,Spring18
ME10001-MECHANICS,EX,Spring18
PH11001-PHYSICS,P,Spring18
PH19001-PHYSICS LAB.,B,Spring18
CE20006-WATER RESOURCES ENGG.,C,Autumn18
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS,B,Autumn18
CE20103-TRANSPORTATION ENGG.,D,Autumn18
CE20105-SURVEYING,P,Autumn18
CE21005-SOLID MECHANICS,P,Autumn18
CE29003-TRANSPORTATION ENGG. LAB,A,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,D,Autumn18
MA20101-TRANSFORM CALCULUS,D,Autumn18
CE21003-HYDRAULICS,B,Spring19
CE21004-STRUCTURAL ANALYSIS,A,Spring19
CE29002-SURVEYING PEACTICE,A,Spring19
CE29006-WATER RESOURCES ENGG. LABORATORY,A,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,B,Spring19
HS20016-ENVIRONMENTAL HUMANITIES,C,Spring19
MA20104-PROBABILITY & STATISTICS,C,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,P,Autumn19
CE31001-DESIGN OF RC STRUCTURE,P,Autumn19
CE31003-SOIL MECHANICS,P,Autumn19
CE31005-WATER AND W.W. ENGINEERING,P,Autumn19
CE31216-CONSTRUCTION PLANNING AND MANAGEMENT,C,Autumn19
CE39007-CONCRETE LABORATORY,A,Autumn19
CE39009-SOIL MECHANICS LABORATORY,A,Autumn19
CE39011-W & W.W. ENGINEERING LABORATORY,B,Autumn19
EV20001-ENVIRONMENTAL SCIENCE,C,Autumn19
CE31002-FOUNDATION ENGINEERING,B,Spring20
CE31004-DESIGN OF STEEL STRUCTURES,P,Spring20
CE31111-DESIGN OF HYDRAULIC STRUCTURES,D,Spring20
CE31306-ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING,C,Spring20
CE39004-DESIGN SESSIONAL,A,Spring20
CE39006-STRUCTURAL DETAILING,EX,Spring20
CE39008-CIVIL ENGG. DRAWING AND EST.,A,Spring20
ET60006-,C,Spring20
CE31410-ROCK MECHANICS AND TUNNELLING,C,Autumn20
CE41003-STRUCTURAL DYNAMICS & EARTHQUAKE ENGG.,A,Autumn20
CE41601-SOLID WASTE MANAGEMENT,B,Autumn20
CE48001-INDUSTRIAL TRAINING,B,Autumn20
CE69021-,I,Autumn20
HS30071-APPLIED ORGANISATIONAL PSYCHOLOGY,B,Autumn20
HS60005-,B,Autumn20
CE41028-STRUCTURAL HEALTH MONITORING,B,Spring21
CE48004-COMPREHENSIVE VIVA-VOCE,P,Spring21
CE60016-,A,Spring21
CE60112-,B,Spring21
EP60010-,C,Spring21
ET60010-,C,Spring21
ET60027-,EX,Spring21
CY11001-CHEMISTRY,P,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,D,Autumn17
MA10001-MATHEMATICS-I,P,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,P,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,P,Spring18
ME10001-MECHANICS,C,Spring18
PH11001-PHYSICS,D,Spring18
PH19001-PHYSICS LAB.,B,Spring18
CE20006-WATER RESOURCES ENGG.,P,Autumn18
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS,D,Autumn18
CE20103-TRANSPORTATION ENGG.,D,Autumn18
